Episode,Title,Date,Length
1,David Krakauer on The Landscape of 21st Century Science,2019-10-09, 46:32 
2,"The Origins of Life: David Krakauer, Sarah Maurer, and Chris Kempes at InterPlanetary Festival 2019",2019-10-09, 55:37 
3,Sabine Hauert on Swarming Across Scales,2019-10-16, 39:23 
4,Luis Bettencourt on The Science of Cities,2019-10-23, 50:17 
5,Jennifer Dunne on Food Webs & ArchaeoEcology,2019-10-30, 46:24 
6,Jennifer Dunne on Reconstructing Ancient Food Webs,2019-11-06, 48:05 
7,"Rajiv Sethi on Stereotypes, Crime, and The Pursuit of Justice",2019-11-13, 59:39 
8,Olivia Judson on Major Energy Transitions in Evolutionary History,2019-11-20, 01:04:17 
9,Mirta Galesic on Social Learning & Decision-making,2019-11-27, 01:19:23 
10,Melanie Moses on Metabolic Scaling in Biology & Computation,2019-12-04, 01:06:12 
11,"Ray Monk on The Lives of Extraordinary Individuals: Wittgenstein, Russell, Oppenheimer",2019-12-11, 50:13 
12,Matthew Jackson on Social & Economic Networks,2019-12-18, 01:05:47 
13,W. Brian Arthur (Part 1) on The History of Complexity Economics,2020-01-08, 57:03 
14,W. Brian Arthur (Part 2) on The Future of The Economy,2020-01-15, 01:00:49 
15,R. Maria del-Rio Chanona on Modeling Labor Markets & Tech Unemployment,2020-01-22, 50:06 
16,Andy Dobson on Disease Ecology & Conservation Strategy,2020-01-29, 59:12 
17,Chris Kempes on The Physical Constraints on Life & Evolution,2020-02-05, 01:02:22 
18,Kirell Benzi on Data Art & The Future of Science Communication,2020-02-12, 01:06:06 
19,David B. Kinney on the Philosophy of Science,2020-02-19, 55:43 
20,Albert Kao on Animal Sociality & Collective Computation,2020-02-26, 52:38 
21,Melanie Mitchell on Artificial Intelligence: What We Still Don't Know,2020-03-04, 01:17:16 
22,Nicole Creanza on Cultural Evolution in Humans & Songbirds,2020-03-11, 01:06:19 
23,Andy Dobson on Epidemic Modeling for COVID-19,2020-03-18, 36:14 
24,Laurent Hébert-Dufresne on Halting the Spread of COVID-19,2020-03-25, 49:14 
25,Sam Scarpino on Modeling Disease Transmission & Interventions,2020-04-01, 28:32 
26,Rigorous Uncertainty: Science During COVID-19 with David Krakauer (Transmission Series Ep. 1),2020-04-06, 47:04 
27,COVID-19 & Complex Time in Biology & Economics with David Krakauer (Transmission Series Ep. 2),2020-04-13, 42:21 
28,Caroline Buckee on Improving COVID-19 Surveillance & Response,2020-04-16, 45:05 
29,"On Coronavirus, Crisis, and Creative Opportunity with David Krakauer (Transmission Series Ep. 3)",2020-04-20, 44:11 
30,Rethinking Our Assumptions During the COVID-19 Crisis with David Krakauer (Transmission Series Ep. 4),2020-04-27, 51:13 
31,Embracing Complexity for Systemic Interventions with David Krakauer (Transmission Series Ep. 5),2020-05-04, 44:55 
32,"Exponentials, Economics, and Ecology with David Krakauer (Transmission Series Ep. 6)",2020-05-11, 47:28 
33,The Future of the Human Climate Niche with Tim Kohler & Marten Scheffer,2020-06-02, 56:35 
34,Better Scientific Modeling for Ecological & Social Justice with David Krakauer (Transmission Series Ep. 7),2020-06-08, 40:03 
35,Scaling Laws & Social Networks in The Time of COVID-19 with Geoffrey West (Part 1),2020-06-17, 49:30 
36,"Geoffrey West on Scaling, Open-Ended Growth, and Accelerating Crisis/Innovation Cycles: Transcendence or Collapse? (Part 2)",2020-06-24, 58:18 
37,The Art & Science of Resilience in the Wake of Trauma with Laurence Gonzales,2020-07-06, 59:23 
38,"Fighting Hate Speech with AI & Social Science (with Joshua Garland, Mirta Galesic, and Keyan Ghazi-Zahedi)",2020-07-15, 01:05:48 
39,Fractal Conflicts & Swing Voters with Eddie Lee,2020-07-23, 01:02:35 
40,The Information Theory of Biology & Origins of Life with Sara Imari Walker (Big Biology Podcast Crossover),2020-08-12, 01:06:51 
41,Natalie Grefenstette on Agnostic Biosignature Detection,2020-09-02, 56:52 
42,Carl Bergstrom & Jevin West on Calling Bullshit: The Art of Skepticism in a Data-Driven World,2020-09-16, 58:44 
43,Vicky Yang & Henrik Olsson on Political Polling & Polarization: How We Make Decisions & Identities,2020-09-30, 01:10:09 
44,"Introducing Alien Crash Site, a new SFI Podcast with host Caitlin McShea",2020-10-09, 20:32 
45,David Wolpert on The No Free Lunch Theorems and Why They Undermine The Scientific Method,2020-10-14, 52:13 
46,Helena Miton on Cultural Evolution in Music and Writing Systems,2020-10-29, 01:01:44 
47,Scott Ortman on Archaeological Synthesis and Settlement Scaling Theory,2020-11-11, 54:54 
48,Peter Dodds on Text-Based Timeline Analysis & New Instruments for The Science of Stories,2020-11-26, 01:30:23 
49,"Artemy Kolchinsky on ""Semantic Information"" & The Physics of Meaning",2020-12-11, 01:01:51 
50,Science in The Time of COVID: Michael Lachmann & Sam Scarpino on Lessons from The Pandemic,2020-12-23, 59:14 
51,Cris Moore on Algorithmic Justice & The Physics of Inference,2021-01-14, 01:11:40 
